Fakturanr.;Fakturadato;Forfallsdato;Kundenummer;Avdelingsnummer;Avdelingsnavn;Prosjektnummer;Prosjektleder Nummer;Beløp ekskl. mva;Valuta;Beløp inkl. mva;Betalt;Utestående;Purring;Purring Status;Purring Sist sendt;Purring Forfallsdato
7132.0;0001-01-21;0001-01-21;10483;;Avdeling;nan;;-15540.0;NOK;-19425.0;0.0;-19425.0;;;;
7133.0;0001-01-31;0001-03-01;10771;;Avdeling;0000.84;;1920.0;NOK;2400.0;2400.0;0.0;;;;
7134.0;0001-01-31;0001-03-01;10000;;Avdeling;0000.82;;44560.0;NOK;55700.0;55700.0;0.0;;;;
7135.0;0001-01-31;0001-03-01;10772;;Avdeling;0000.75;;26050.0;NOK;32562.5;32562.5;0.0;;;;
7136.0;0001-01-31;0001-03-01;10772;;Avdeling;nan;;35910.0;NOK;44887.5;44887.5;0.0;;;;
7137.0;0001-01-31;0001-03-01;10483;;Avdeling;0000.25;;17280.0;NOK;21600.0;21600.0;0.0;0.0;Betalingspåminnelse;0001-03-16;0001-03-16
7138.0;0001-01-31;0001-03-06;10001;;Avdeling;0000.20;;15680.0;NOK;19600.0;19600.0;0.0;;;;
7139.0;0001-01-31;0001-03-01;10001;;Avdeling;nan;;38220.0;NOK;47775.0;47775.0;0.0;;;;
7140.0;0001-01-31;0001-03-01;10782;;Avdeling;nan;;21560.0;NOK;26950.0;26950.0;0.0;;;;
7141.0;0001-01-31;0001-03-01;10663;;Avdeling;-001.72;;2970.0;NOK;3712.5;3712.5;0.0;0.0;Betalingspåminnelse;0001-03-16;0001-03-16
7142.0;0001-01-31;0001-03-01;10135;;Avdeling;nan;;19320.0;NOK;24150.0;24150.0;0.0;;;;
7143.0;0001-01-31;0001-03-01;10641;;Avdeling;-001.45;;67950.0;NOK;84937.5;0.0;84937.5;;;;
7144.0;0001-01-31;0001-03-01;10135;;Avdeling;-001.09;;2940.0;NOK;3675.0;3676.0;-1.0;;;;
7145.0;0001-01-31;0001-03-01;10483;;Avdeling;nan;;51370.0;NOK;64212.5;64212.5;0.0;;;;
7146.0;0001-01-31;0001-03-01;10483;;Avdeling;nan;;16560.0;NOK;20700.0;20700.0;0.0;0.0;Betalingspåminnelse;0001-03-16;0001-03-16
7147.0;0001-01-31;0001-03-01;10483;;Avdeling;nan;;29190.0;NOK;36487.5;36487.5;0.0;;;;
7148.0;0001-01-31;0001-03-01;10483;;Avdeling;nan;;14840.0;NOK;18550.0;18550.0;0.0;;;;
7149.0;0001-01-31;0001-03-01;10000;;Avdeling;nan;;2300.0;NOK;2875.0;2875.0;0.0;;;;
7150.0;0001-01-31;0001-03-01;10135;;Avdeling;nan;;3920.0;NOK;4900.0;4900.0;0.0;;;;
7151.0;0001-01-31;0001-03-01;10674;;Avdeling;nan;;25060.0;NOK;31325.0;31325.0;0.0;;;;
7152.0;0001-01-31;0001-03-01;10515;;Avdeling;-001.77;;34400.0;NOK;43000.0;43000.0;0.0;;;;
7153.0;0001-01-31;0001-03-01;10135;;Avdeling;nan;;11460.0;NOK;14325.0;14326.0;-1.0;;;;
7154.0;0001-01-31;0001-03-01;10483;;Avdeling;nan;;25530.0;NOK;31912.5;31912.5;0.0;0.0;Betalingspåminnelse;0001-03-16;0001-03-16
7155.0;0001-01-31;0001-03-01;10750;;Avdeling;0000.59;;494680.0;NOK;618350.0;618350.0;0.0;;;;
7156.0;0001-01-31;0001-03-01;10709;;Avdeling;0000.32;;172030.0;NOK;215037.5;215037.5;0.0;;;;
7157.0;0001-01-31;0001-03-01;10325;;Avdeling;0000.23;;4800.0;NOK;6000.0;6000.0;0.0;;;;
7158.0;0001-01-31;0001-03-01;10693;;Avdeling;0000.15;;6860.0;NOK;8575.0;8575.0;0.0;0.0;Betalingspåminnelse;0001-03-16;0001-03-16
7159.0;0001-01-31;0001-03-01;10645;;Avdeling;-001.57;;70750.0;NOK;88437.5;0.0;88437.5;0.0;Betalingspåminnelse;0001-03-16;0001-03-16
7160.0;0001-01-31;0001-03-01;10648;;Avdeling;nan;;35250.0;NOK;44062.5;0.0;44062.5;0.0;Betalingspåminnelse;0001-03-16;0001-03-16
7161.0;0001-01-31;0001-03-01;10509;;Avdeling;nan;;2451.0;NOK;3063.76;3063.76;0.0;;;;
7162.0;0001-01-31;0001-03-01;10257;;Avdeling;nan;;13350.0;NOK;16687.5;16687.5;0.0;;;;
7163.0;0001-01-31;0001-03-16;10727;;Avdeling;nan;;71350.0;NOK;89187.5;89187.5;0.0;;;;
